headline,timestamp,sentiment
Novo Nordisk ends deal with Hims & Hers over sales of Wegovy copycats; HIMS drops 20% - CNBC,2025-06-24 12:41:52,negative
Tesla Stock Jumps After Musk’s Robo-Taxi Rollout. Where Shares Go From Here. - Barron's,2025-06-24 12:41:52,neutral
Google Confirms Most Gmail Users Must Upgrade All Their Accounts - Forbes,2025-06-24 12:41:52,neutral
"Why U.S. bull market for stocks is still intact, according to this strategist - MarketWatch",2025-06-24 12:41:52,neutral
"New Stellantis CEO faces slew of challenges, vows to avoid 'mediocrity' - CNBC",2025-06-24 12:41:52,neutral
"Trump Mobile and its T1 Phone Don't Make Any Sense, Even for Trump Fans - CNET",2025-06-24 12:41:52,neutral
Exclusive | Stablecoin World Opens Up to Main Street Banks - WSJ - WSJ,2025-06-24 12:41:52,neutral
Stock Futures Rise as Iran Response Fears Recede: Markets Wrap - Bloomberg,2025-06-24 12:41:52,neutral
Major U.S. health insurers say they will streamline controversial process for approving care - CNBC,2025-06-24 12:41:52,neutral
Novo Nordisk Obesity Shot Tied to Greater Weight Loss at Lower Doses - Bloomberg,2025-06-24 12:41:52,neutral
PayPal teams up with the Big Ten and Big 12 to enable payments to student-athletes - CNBC,2025-06-27 13:18:50,neutral
How the stock market made it back to a new record — even with so much still to worry about - CNBC,2025-06-27 13:18:50,neutral
JPMorgan has a new way of forecasting the stock market — and there’s a surprising finding - MarketWatch,2025-06-27 13:18:50,neutral
Jes Staley fails to overturn ban over Jeffrey Epstein links - Financial Times,2025-06-27 13:18:50,negative
Exclusive | China Is Still Choking Exports of Rare Earths Despite Pact With U.S. - WSJ,2025-06-27 13:18:50,negative
Trump Organization scraps 'made in the USA' tag for its gold T1 smartphone - CNBC,2025-06-27 13:18:50,negative
Why your old mobile phone may be polluting Thailand - BBC,2025-06-27 13:18:50,neutral
Veteran analyst drops bold new call on Nvidia stock - Yahoo Finance,2025-06-27 13:18:50,neutral
